price,types,address,latitude,longitude,date,beds,baths,sq.,bath,reception,receptions,bed,total_Beds,total_Baths,total_Receptions,FlatType,index
685000,3 bed flat for sale ,"Bollo Lane, Acton, London W3",51.501862,-0.278201,9/2/2021,3,2,"1,051",0,0,0,0,3,2,0,flat,165
995000,4 bed town house for sale ,"Sir Alexander Close, Acton W3",51.508399,-0.249145,9/2/2021,4,3,"2,500",0,1,0,0,4,3,1,town house,166
750000,2 bed flat for sale ,"Pilot Walk, London SE10",51.497588,0.012385,9/2/2021,2,2,790,0,1,0,0,2,2,1,flat,167
549900,1 bed flat for sale ,"The Shoreline Building, 42 Newnton Close, London N4",51.57316,-0.08542,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,168
1150000,5 bed semi-detached house for sale ,"Dukes Avenue, New Malden KT3",51.403677,-0.252907,9/2/2021,5,2,0,0,0,3,0,5,2,3,semi-detached house,169
350000,1 bed flat for sale ,"Trinity Court, 221 Marsh Road, Pinner, Middlesex HA5",51.59254,-0.382417,9/2/2021,0,0,0,1,0,0,1,1,1,0,flat,170
435000,2 bed flat for sale ,"Conifer Court, Inner Park Road, Southfields SW19",51.444855,-0.221274,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,171
360000,1 bed flat for sale ,"Trinity Court, 221 Marsh Road, Pinner, Middlesex HA5",51.59254,-0.382417,9/2/2021,0,0,0,1,0,0,1,1,1,0,flat,172
285000,1 bed flat for sale ,"Belmont Road, Uxbridge, Middlesex UB8",51.548115,-0.478315,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,173
4e+05,1 bed flat for sale ,"Ballina Street, London SE23",51.44857,-0.044365,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,174
635000,1 bed flat for sale ,"Pinto Tower, Nine Elms Point, Nine Elms SW8",51.48153,-0.127924,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,175
